trait,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,simmap
stemarea,app,0.0698780057501206,0.0617561994262648,0.0553417714086184,NA,0.541916060035761,0.262341536835549,0.129235072500968,NA,-1.29713852658716,8.46063635838735,-318541.6087667,NA,72
stemarea,app,0.0770838759150215,0.030814694761125,0.00300875628055554,NA,0.607725645551581,0.437268200545848,0.0177476865700665,NA,-1.49400029853826,20.4260329155044,21287565.4935384,NA,73
stemarea,app,0.0862694043795748,0.0783503981258892,0.0748288188483928,NA,0.554226836796407,0.339609804390444,0.292070513340438,NA,-1.65605653379254,5.69659423050305,-0.869907019327511,NA,74
stemarea,app,0.106896103110838,0.0333273820092189,0.000220682052031911,NA,0.636829397762586,0.718885661159566,1.00000000000094e-09,NA,-1.34310999279302,16.4408006461391,3318991.78328291,NA,75
stemarea,app,3.66512692516164,8.72308866805838e-09,1.23914100189553e-08,NA,0.000130380939678313,0.000130380939678313,0.000130380939678313,NA,-2.65734878892211,0,0,NA,76
stemarea,app,0.0258113157296447,0.0252118168211968,0.0215985397012828,NA,0.42162331040503,0.255696336379057,0.0658734930451506,NA,-1.39852489842275,14.2723782241475,2342249.15964128,NA,77
stemarea,app,0.183653824078055,0.12080914219318,1.45859880900476e-05,NA,0.910866532560069,1.27513482947717,1.00000000000018e-09,NA,-1.68576823435271,3.61666966000178,9547315.89875875,NA,78
stemarea,app,0.0765358286100918,0.0491126085707909,0.00689683415500921,NA,0.588984333250057,0.299945441863889,0.00992716209666376,NA,-1.43059351967493,10.1895062898983,9454868.86807275,NA,79
stemarea,app,2.04174951082259,3.305129618265e-09,9.79666186470971e-05,NA,0.666974453061717,1.12604514483586e-09,0.348815244965427,NA,-2.78786162055621,-1.49532336277323e-265,8.0834330999433e-265,NA,80
stemarea,app,2.64329656323843,0.0368288858954992,1.52470770194101e-08,NA,0.0799035654043598,0.539353997783685,1.71142084004243e-09,NA,0.492825749616079,0,0,NA,81
stemarea,app,0.215515659381852,0.23205134253406,1.02920904003641e-06,NA,0.866840927242727,0.785778801343585,1.00000001071433e-09,NA,-1.64687245135671,2.6673425186024,7395531.74563211,NA,82
stemarea,app,0.171335973818557,0.0542075693849232,1.2602470784403e-05,NA,1.04507221151855,1.77157884317891,1.00000000000033e-09,NA,-1.40624032588187,13.2132332959841,-4786296.95860268,NA,83
stemarea,app,0.051386868481531,0.0391790417293005,0.0298605667884362,NA,0.499045577080219,0.241577968356094,0.0038401556506333,NA,-1.42662372967884,14.6596770001239,84998.1533572336,NA,84
stemarea,app,0.0626260179129427,0.0541653121177907,0.0328263050076992,NA,0.53577577073514,0.380198586566214,0.00504192232999872,NA,-1.5373867176238,7.16700189258519,6950562.88953132,NA,85
stemarea,app,0.110573150529414,0.0810024617988362,0.00075287591697299,NA,0.727927458550219,0.655632620733403,1.00000000000067e-09,NA,-1.28582981066918,4.7986374313592,2263685.96810181,NA,86
stemarea,app,0.0438148650488391,0.0168870671814243,0.00716040730456808,NA,0.448107511609539,0.346232535996491,0.0034366331201071,NA,-1.34972484922129,25.5905678434998,-6099431.95006818,NA,87
stemarea,app,0.123618127847138,0.106509360798965,0.0029982458777732,NA,0.702451706688604,0.561009758960326,1e-09,NA,-1.42324662598544,5.00379899950623,19610378.9510857,NA,88
stemarea,app,2.16124588292594,0.00668423738506406,5.2723116117654e-08,NA,0.0784408064946607,0.0784408064946607,0.0784408064946607,NA,-2.78786151806982,0,0,NA,89
stemarea,app,2.43150046081869,4.81365912070754e-05,3.38897790237554e-09,NA,3.09223923565376,3.09223923565376,3.09223923565376,NA,-2.2094783025082,0,0,NA,90
stemarea,app,3.42641717689673,0.0464080267172469,7.54778164473151e-09,NA,0.278228684798283,0.278228684798283,0.278228684798283,NA,-2.68027180391816,0,0,NA,91
stemarea,app,2.32226692090878,0.0726236211893286,1.26162847480446e-08,NA,0.0529044628849054,0.0162126987012408,0.0708189355929944,NA,-2.78785507995087,-5.98218613030677e-14,1.68739590954028e-21,NA,92
stemarea,app,0.158111357104803,0.164653500037718,0.00608186352565618,NA,0.797156866775299,0.967687756806944,1.00000000000015e-09,NA,-1.49984152372201,3.08357016859864,3103175.21399877,NA,93
stemarea,app,5.99866773164688,0.0072947138648048,8.19971342443892e-09,NA,1.77012326937752e-09,1.77012326937752e-09,1.77012326937752e-09,NA,-1.76466931895701,0,0,NA,94
stemarea,app,1.94015501902973,0.00506603419811241,1e-09,NA,2.38223279505198e-09,1.00053316568755e-09,1.18117559112057e-08,NA,-2.77392269185289,4.14525865483072e-14,4.02521202543288e-23,NA,95
stemarea,app,0.0769850048066879,0.0595700679640436,0.0537600961720275,NA,0.610361354797707,0.284464674431899,0.0835464953026258,NA,-1.35154124262345,9.20176721786022,-3.56174077484947,NA,96
stemarea,app,2.02254325738904,0.0432186044188025,1.34491606934485e-08,NA,0.193001693357628,0.193001693357628,0.193001693357628,NA,-1.84417677078862,1.00336721717823e-255,4.47579840488495e-249,NA,97
stemarea,app,0.135057160791494,0.120757790452854,2.94352436116604e-05,NA,0.887077600881504,0.366995109169613,1e-09,NA,-1.23983524173659,5.03589426547268,-0.00186053871016948,NA,98
stemarea,app,0.0717658975491301,0.0565650188174761,0.0428356678124914,NA,0.523991230287762,0.27827640138804,0.0101212913134209,NA,-1.74129759449839,9.12423057897838,72448.6748468391,NA,99
stemarea,app,0.177572560628392,0.166342661588244,0.00108148415457131,NA,0.82793156585134,0.719289320622877,1.00000000643745e-09,NA,-1.46222651848929,3.72722140334898,7849846.56608437,NA,100
leafarea,app,1.43274206540955,1.40322215725529,2.31838120308807e-09,NA,5.68559180177449,5.68559180177449,5.68559180177449,NA,-0.50756237394592,1.02362921527028,4.20428693903378e-15,NA,1
leafarea,app,0.475705623639864,0.548998956588179,7.8417675286213e-07,NA,2.58702765812755,0.377030018940203,1.00004840142772e-09,NA,-0.502217209953961,0.972056254806976,2045400.36155531,NA,2
leafarea,app,3.25121025153307,0.000258935682794572,1.00135024536686e-09,NA,0.0160343754232374,0.0160343754232374,0.0160343754232374,NA,-0.234487413965165,0,0,NA,3
leafarea,app,0.164544538693434,0.158925867913264,0.152694317857902,NA,1.17085180394156,0.715868074940209,0.158270884049835,NA,-0.379765536417952,1.25750682658257,-0.261311259298514,NA,4
leafarea,app,3.29158490081101,2.65605051334198e-05,5.96191013570691e-07,NA,1.10343780635385e-09,1.10343780635385e-09,1.10343780635385e-09,NA,-0.467408785169225,0,0,NA,5
leafarea,app,2.6578861460076,0.067123665782067,2.74097149954391e-05,NA,6.04608363975717,6.04608363975717,6.04608363975717,NA,-1.3682096977982,1.07212245147551e-321,0,NA,6
leafarea,app,0.243770873074787,0.24880288116281,0.247753770705051,NA,1.56963994837772,0.22549108374499,0.926124868278782,NA,-0.361866688711854,-0.567663500290315,1.11990990168526,NA,7
leafarea,app,2.27880210950534,0.000100234750342487,7.7889389588173e-08,NA,5.47537650792468,5.47537650792468,5.47537650792468,NA,0.435372862749946,2.17216188219021e-12,1.09564713883277e-17,NA,8
