alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,trait,simmap,tree,disc.trait
0.942270973163516,0.941715854794466,0.94192367878987,0.93982311256506,0.0938750528486754,0.0920670888107794,0.0920551200815746,0.0874222125373595,-0.100348120281176,-0.027985267708685,-0.0417470806628498,-0.0275763508855274,leafarea,4,1,app
0.968551559962524,0.96834206471815,0.968406260218972,0.96745632152003,0.0963166673922438,0.0947624885784674,0.094660155939946,0.0901765029123211,-0.0987566555760334,-0.0287211998993534,-0.042564360143398,-0.0283412629060459,leafarea,5,1,app
1.0078766573471,1.00783595090895,1.00785058443379,1.00767065579897,0.100450321594659,0.0986118593571645,0.099107517452649,0.0942563567313233,-0.0961727021093026,-0.0442822022079636,-0.0337068463639901,-0.0311640553500243,leafarea,6,1,app
0.959449551654505,0.959342231988423,0.959375263717223,0.958809896733968,0.0959447701965034,0.0945523351842964,0.0946231402973604,0.0908902916478479,-0.0932528875147116,-0.0301967767154338,-0.0490848394607944,-0.0332236732413307,leafarea,7,1,app
0.912774815625592,0.909633666439724,0.910747831649853,0.898948046545893,0.0916298413222823,0.0897007056152141,0.0901618479472481,0.0853700417839677,-0.0997095059057119,-0.0398601531690802,-0.0259233666341032,-0.0274049557252263,leafarea,8,1,app
0.945493148544202,0.943481433647198,0.944090201455852,0.935340485095709,0.0947818604012275,0.0927210723510213,0.0929233383354418,0.0884087811748114,-0.0990268056018191,-0.0291712617143522,-0.0430341690854916,-0.0285839263983136,leafarea,9,1,app
0.931971407915113,0.931752169825478,0.931865750197541,0.93058223746135,0.0920172274934804,0.0900911643308952,0.089939836016495,0.0849471696459137,-0.106044264957675,-0.0390666544111981,-0.000902966814914895,-0.021870859278309,leafarea,10,1,app
2.27355954739815,2.27355954734167,2.27355954742203,2.27355954720244,0.0216452805730006,0.0216452796806156,0.0216452809458061,0.0216452788629943,-0.00646491326680308,-0.00646491587281989,-0.00646493410277951,-0.00646489862937936,corleng,1,1,app
2.27356000261158,2.2735600026385,2.2735600027536,2.27356000232278,0.0216452845893617,0.0216452841436901,0.0216452849482057,0.0216452835195022,-0.00646491878130557,-0.00646491939188507,-0.00646489901462479,-0.0064649000284143,corleng,2,1,app
2.27356017907218,2.27356017909199,2.27356017902812,2.27356017889855,0.0216452862806774,0.0216452864426711,0.0216452856986274,0.0216452851221615,-0.00646491527299345,-0.00646491640587619,-0.00646491858515084,-0.00646490055283786,corleng,3,1,app
2.27355926049141,2.27355926044232,2.27355926057029,2.27355926023222,0.0216452779584866,0.021645276810506,0.0216452783748867,0.0216452758520425,-0.00646491162861042,-0.00646492466339827,-0.00646492465139384,-0.00646489776147467,corleng,4,1,app
2.27355945006352,2.27355945000362,2.27355945042778,2.27355944940916,0.0216452796570153,0.0216452786684221,0.0216452801449339,0.0216452777425339,-0.00646491550701952,-0.00646491597274859,-0.00646492448650191,-0.00646489833551208,corleng,5,1,app
2.27355918967707,2.27355919062081,2.27355918943015,2.27355918785055,0.0216452769492386,0.02164527792792,0.0216452763597938,0.0216452752639283,-0.00646491844394207,-0.00646489985985341,-0.00646492550762893,-0.00646489755647996,corleng,6,1,app
2.27356015670013,2.27356015659382,2.27356015667759,2.27356015634921,0.0216452860574864,0.0216452855542119,0.0216452862304161,0.0216452849966295,-0.00646491195104843,-0.00646492372518044,-0.00646492361217501,-0.0064649004908283,corleng,7,1,app
