trait,simmap,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4
holediam,25,warts,11.4690315900319,0.00258572470995154,0.0103453478965993,0,0.00105243916840469,0.00105243916840469,0.00105243916840469,0.00105243916840469,0.415350170463365,-2.93970947356162e-87,5.3193949789021e-124,0
holediam,26,warts,0.0219312763260762,0.0219312763260762,0.0219312763260762,0.0219312763260762,0.0193724881092626,0.00770096432564054,0.0161806567325549,0.00406746975920752,0.0233047430987387,-0.0365811411138062,0.0849366149625116,0.00969930527913613
holediam,27,warts,0.0144705891840116,0.0144705891840116,0.0144705891840116,0.0144705891840116,0.0191731164866771,0.00631434229188387,0.013950655998612,0.00264978998742991,0.0165259298565701,-0.021114071111621,0.0472092543798043,0.00641867257475038
holediam,28,warts,0.0205294718267092,0.0205294718267092,0.0205294718267092,0.0205294718267092,0.018910041632468,0.00748849472962292,0.0148414069070344,0.0037390200428411,0.0205813867017495,-0.0340805104670667,0.0522600637641962,0.00907532052231108
holediam,29,warts,11.1709843540332,0.0224970894871995,4.04150147052106,0,2.43102779691751e-08,2.43102779691751e-08,2.43102779691751e-08,2.43102779691751e-08,0.0186069040571124,4.91440820161267e-111,0,0
holediam,30,warts,0.0161115772274415,0.0160685402954344,0.0163911020617808,0.0160685402737968,0.016415786458868,0.0069940243982579,0.0234271325082065,0.0030326378612961,0.0222229145541217,-60635.2381962368,0.0231132200471037,0.00711403640444786
holediam,31,warts,10.0598682981772,0.00528590649588408,9.19790439355327,0,3.85982178298099e-09,3.85982178298099e-09,3.85982178298099e-09,3.85982178298099e-09,0.0186069040571182,5.63696823600926e-101,0,0
holediam,32,warts,0.0187956634312706,0.0187315959766184,0.0192751312449693,0.0187315959414263,0.0175290378641285,0.00736774258976351,0.0205624726842757,0.00362089857195799,0.0226452066795739,-93077.6476990863,0.0748790814765738,0.00832865801024622
holediam,33,warts,0.0177066334087395,0.0177066334087395,0.0177066334087395,0.0177066334087395,0.0174539107291857,0.0206442315671746,0.00706599935976047,0.00327542823065527,0.0210744808216066,0.00520469092301769,-0.018435106500348,0.00795955257489354
holediam,34,warts,11.8894221968731,0.00151306968612604,0.0479219113939576,0,0.0100559154264665,0.0100559154264665,0.0100559154264665,0.0100559154264665,0.0186069040571182,3.38738910737502e-119,0,0
holediam,35,warts,0.023854907865612,0.0238535764072896,0.0239148504359568,0.0238535764000515,0.0210050971264276,0.00778629075572014,0.0152819158065486,0.00456731332598386,0.0214033797036372,-18872.7654433032,0.019616561122685,0.011033260565175
holediam,36,warts,0.014039963105819,0.0140288379950444,0.0141181231642136,0.0140288379867437,0.0191582139374621,0.00628973458555589,0.012431393034868,0.002655842567112,0.0166950783031508,-15531.8163131801,-0.00461445562221668,0.00640361240233441
holediam,37,warts,5.72204051996897,0.000577471226389251,0.0176274254429704,0,0.00288308349613228,0.00288308349613228,0.00288308349613228,0.00288308349613228,0.0186069040571143,4.68817616934249e-60,0,0
holediam,38,warts,0.023257479714347,0.023257479714347,0.023257479714347,0.023257479714347,0.0178217221444627,0.00801219532366699,0.0202517734812534,0.00421230410343743,0.0244365269834266,-0.0415550585322869,0.0525456530812336,0.0101613757397783
holediam,39,warts,0.0179043207702052,0.0178956332710735,0.0179481786238586,0.0178956332662813,0.0189878278576954,0.00700168497696836,0.0146958906803275,0.00338163219778916,0.0177081654606424,-14294.974435075,0.0194484431964241,0.00823112285815054
holediam,40,warts,0.00090578570077747,1.08051352231477,0.200961764332774,3.1890204991036e-298,1.56608204385284e-09,1.56608204385284e-09,1.56608204385284e-09,1.56608204385284e-09,-1131.47860814738,0.0512253665878055,3247.21051811998,1.45195157415739e-298
holediam,41,warts,0.0145707568633853,0.0145485180961562,0.014679886789492,0.0145485180848725,0.016858572939708,0.0066305966688937,0.0216152570963397,0.00275169744775736,0.0231624868980933,-41415.7455468129,-0.023807522482281,0.00635240172533655
holediam,42,warts,0.0160294615682554,0.0160218466440838,0.0160730087673688,0.0160218466394203,0.0188846038829311,0.006555966028718,0.0151045789813207,0.00292512109651809,0.0181684235752054,-12562.1673125858,0.050667795509421,0.00707704538070179
holediam,43,warts,0.0339105600916488,0.0339105600916488,0.0339105600916488,0.0339105600916488,0.0187355038448319,0.00982256755931766,0.0221022824863194,0.00615138645875768,0.0388112532427918,-0.0680136401907701,0.104974129051024,0.0147324432918522
holediam,44,warts,0.0230958125019725,0.0230083602866528,0.0240170070732418,0.0230083602386206,0.0183092753041903,0.00815277321259059,0.0186241090316369,0.00455801429956767,0.0243561498437333,-162771.241098821,0.0653092636315608,0.0104289500700312
holediam,45,warts,11.5004378817383,0.000289064261925022,9.11013635682041,0,0.000375340489703757,0.000375340489703757,0.000375340489703757,0.000375340489703757,0.0186069040571154,3.66995148950979e-116,0,0
holediam,46,warts,11.438684493868,0.0010454748293355,0.136623220631832,0,0.0101182908494072,0.0101182908494072,0.0101182908494072,0.0101182908494072,0.018606904057107,5.26229785173478e-115,0,0
holediam,47,warts,9.31615279504028,0.000644213019395151,0.872434064971108,0,0.000559519536089619,0.000559519536089619,0.000559519536089619,0.000559519536089619,0.0186069040571097,1.01902905194894e-94,2.77559824996575e-118,0
holediam,48,warts,0.0161526236527711,0.0161526236527711,0.0161526236527711,0.0161526236527711,0.0193995210848909,0.00666561512285255,0.0136616705651063,0.00296969703760301,0.0175918879299252,-0.0277121601440562,0.0658091049938265,0.00713740255885959
holediam,49,warts,0.0204977842733409,0.0204317369126573,0.0209859123453043,0.0204317368795976,0.0170996033955302,0.00785010788799958,0.0210248506527178,0.00397394632091027,0.0265058498104731,-124995.381888682,0.0268477388563675,0.00920351403010241
holediam,50,warts,0.054567533987658,0.054567533987658,0.054567533987658,0.054567533987658,0.0210684371048756,0.0132185387877712,0.0185731761095201,0.0101290022327487,0.0579462761542816,-0.217341213898936,0.0502450343430507,0.0226094718495199
holediam,51,warts,0.0136607239688333,0.0136401716294024,0.0139406822335745,0.0136401716142961,0.0194624011171351,0.00624300232735888,0.0126878335962053,0.00260368994960781,0.0173735180562477,-49807.643014669,0.015762344939051,0.00616328400033909
holediam,52,warts,0.0243751630031679,0.0243751630031679,0.0243751630031679,0.0243751630031679,0.0176327780175303,0.00807005980342435,0.0210122641747049,0.00414839916007325,0.0272696338981968,-0.0413953627663003,0.140272340677016,0.00978125333910322
holediam,53,warts,0.0157538306511679,0.0157222819852291,0.0159289078397907,0.0157222819692245,0.0162287539868805,0.00699318769430713,0.023182239032534,0.0029631244859492,0.0215812012200436,-49649.555009973,0.00906909873913451,0.0069850849005189
holediam,54,warts,12.6282982776867,0.00281190783133004,0.0368288858954992,0,0.0132822368855088,0.0132822368855088,0.0132822368855088,0.0132822368855088,0.415350553632393,0,0,0
holediam,55,warts,12.0280756148726,0.00420952424180363,0.0423266001938398,0,0.0117370859257351,0.0117370859257351,0.0117370859257351,0.0117370859257351,0.0186069040571237,4.38216813810777e-120,0,0
holediam,56,warts,9.62239592082778,0.0337575125864046,6.30425301229938,0,0.0633472479983337,0.0633472479983337,0.0633472479983337,0.0633472479983337,0.0186069040571098,7.09687779584554e-96,0,0
holediam,57,warts,11.8908017140839,0.0345707473948848,0.00162892348135564,0,0.0064502011105252,0.0064502011105252,0.0064502011105252,0.0064502011105252,0.0186069040571153,9.04498633948005e-118,0,0
holediam,58,warts,7.96811351405587,0.00180153086145446,0.108966311294325,0,0.000220167719180571,0.000220167719180571,0.000220167719180571,0.000220167719180571,0.0186069040571182,2.99387766976979e-81,0,0
holediam,59,warts,5.72261898459077,0.000577432310372707,0.0207220502212062,0,0.0236062542784881,0.0236062542784881,0.0236062542784881,0.0236062542784881,0.415302714648008,2.42787681472789e-61,0,0
holediam,60,warts,0.0200301549898069,0.0200301549898069,0.0200301549898069,0.0200301549898069,0.0188390770910423,0.00734462250968643,0.0156948831904416,0.00369583577683952,0.0197058395011362,-0.0154636718441657,0.0754188699286287,0.00902483608936292
holediam,61,warts,0.0188032995148723,0.0187948299290008,0.0188422229151771,0.0187948299238337,0.0178247665430046,0.00729188955781778,0.0179105968922806,0.00347002914402352,0.0242431441858813,-15138.181476873,-0.00370689429580284,0.00835882722584971
holediam,62,warts,0.0181906557206575,0.0181660234647758,0.0182910615422425,0.0181660234553155,0.0180207385636817,0.00705972096589687,0.0188709919984703,0.00337869970578441,0.0190686569121938,-22073.175055562,0.0580249079447595,0.00814662211499327
holediam,63,warts,0.0136855171439137,0.0136855171439137,0.0136855171439137,0.0136855171439137,0.0193162657245695,0.00601215685797913,0.013562120060447,0.00230306415205965,0.0185083754658899,-0.0141151729523305,0.0683077811264016,0.00556210240584816
holediam,64,warts,0.0210373311545095,0.0210209480592676,0.0211182695628458,0.0210209480510492,0.0177374297823497,0.00768040704952228,0.0202507654074937,0.00393930192084342,0.0222673772234785,-24551.3612609932,0.0549563306096845,0.00950300696044879
holediam,65,warts,11.5779964415902,0.000300364916955208,4.95101221267823,0,2.61915279956851e-05,2.61915279956851e-05,2.61915279956851e-05,2.61915279956851e-05,-0.378136745518168,0,0,0
holediam,66,warts,0.0166620179600957,0.0166552455456806,0.0166984808539308,0.01665524554155,0.0189065100068292,0.00678049623101449,0.0135064911647062,0.0031134314798719,0.0170292713572284,-10416.9989991836,0.0367042374830005,0.00758537568053743
holediam,67,warts,0.0217905738472575,0.0217905738472575,0.0217905738472575,0.0217905738472575,0.0191210456124895,0.00761701429152089,0.0144772308218644,0.00388728792307126,0.018920406070639,-0.0437162546149702,0.0853932512209907,0.00935725169000805
holediam,68,warts,0.019787958219448,0.0196884806061999,0.0204278699961563,0.0196884805596894,0.0180970981233568,0.00751575146869312,0.0184982459169359,0.003916151536581,0.02363455443694,-125870.003005465,0.00866392598247053,0.00897935985874747
holediam,69,warts,0.0222510919494477,0.0222492278622762,0.0224680216751949,0.0222492278475048,0.019827963628771,0.00773952708014715,0.014579810553421,0.00426612368947418,0.0288368185245084,-80211.0443677366,0.0271301634195949,0.00993994993597988
holediam,70,warts,0.0219946026654479,0.0215539700450881,0.0256664856072456,0.0215539698083615,0.0168475965185887,0.00856656295548436,0.0197855260675013,0.00507700982943257,0.0284533266596098,-469889.663214078,0.0563934056841597,0.00985201985218935
holediam,71,warts,0.0144765910975726,0.0144765910975726,0.0144765910975726,0.0144765910975726,0.0158577073249094,0.00670133310400402,0.0235700523424226,0.00252368379723785,0.020098288814996,-0.0316959484218639,0.0751681101778998,0.00612649911861631
holediam,72,warts,2.14645128610872,2.68937785404135,5.64312474421544e-06,0,2.44270579499774e-05,2.44270579499774e-05,2.44270579499774e-05,2.44270579499774e-05,-0.37813674880236,0.415369004787812,-6.28195023717261e-26,0
holediam,73,warts,0.0160708369931877,0.0160613736039177,0.0161771327858739,0.016061373596651,0.019002521459675,0.00668368683278301,0.0138996897616965,0.00297502356590148,0.0198903264299877,-25711.8841092593,0.0299351477971408,0.00714932480463187
holediam,74,warts,0.0163641190638592,0.0163521756590819,0.0165772775137247,0.016352175646547,0.0191403671193846,0.00678328492294749,0.0132809173611646,0.00308800695909022,0.0187961765079481,-38033.4050832043,0.029213600115545,0.00740946861091169
holediam,75,warts,0.024829884456395,0.024829884456395,0.024829884456395,0.024829884456395,0.019273347484454,0.00791525699239646,0.0150913371443566,0.00425500741742475,0.0231910062179464,-0.0397405743123459,0.0923650109009973,0.0100598104863405
holediam,76,warts,0.0228688813891585,0.0228688813891585,0.0228688813891585,0.0228688813891585,0.0192072891334588,0.00790340577290663,0.0143689529400114,0.0042154453466653,0.0211720642945136,-0.0396041049212372,0.0331633883487681,0.0101800624673629
holediam,77,warts,0.0269789901604163,0.0269789902432336,0.0285073322916532,0.0269789901145565,0.0172464145613192,0.0089798305021284,0.0210151612229002,0.0051984540448876,0.0361513866888165,-339005.173002487,0.030490601395851,0.0109165877691657
holediam,78,warts,0.0166770415556733,0.0166673797574563,0.0167508859424823,0.0166673797516379,0.018864881976791,0.00675089309248828,0.0146071587230885,0.00311016328869377,0.0180114646627197,-18296.3798527357,0.0301674187776316,0.00753122761745605
holediam,79,warts,0.0277597321279285,0.0277597321279285,0.0277597321279285,0.0277597321279285,0.0191690667034935,0.00852240864200503,0.0170028022409571,0.00478695675539171,0.0273939891259649,-0.0948341108145555,0.100078459652797,0.0111521359895024
holediam,80,warts,8.18267830080797,0.000577432310372707,0.388491875314737,0,0.00441362513311044,0.00441362513311044,0.00441362513311044,0.00441362513311044,0.0186069040571097,8.07227788565116e-84,1.21189454265453e-109,0
holediam,81,warts,6.60913466798568,0.00803290560006978,0.0659367138322538,0,8.42183159797451e-06,8.42183159797451e-06,8.42183159797451e-06,8.42183159797451e-06,-0.0505260938123939,-9.39573176388612e-67,0,0
