variable,BM1,BMS,OU1,OUM,OUMV,OUMA,OUMVA,best,trait
stemarea,297.250987954723,302.909724806005,299.308515082554,297.010651073809,304.287728223318,299.720052174691,293.579485104147,OUMVA,Leaf.Structure
stemarea,297.250987954723,305.329880240432,299.308515082554,299.793592601297,306.461702849059,305.325356289896,311.582252943654,BM1,Leaf.Structure
stemarea,297.250987954723,302.86213889936,299.308515082554,296.104386337951,303.424647099288,297.89433459181,276.45772990235,OUMVA,Leaf.Structure
stemarea,297.250987954723,304.82743017606,299.308515082554,298.530782421063,304.6992009412,-2216.53619445438,285.699541580027,OUMA,Leaf.Structure
stemarea,297.250987954723,306.35955193083,299.308515082554,300.206353114391,307.462142522682,299.362495238176,289.827014698753,OUMVA,Leaf.Structure
stemarea,297.250987954723,305.725087194034,299.308515082554,300.287168491714,307.146095895968,-1779.43905053349,-1132.74563901395,OUMA,Leaf.Structure
stemarea,297.250987954723,305.587836577329,299.308515082554,300.471420506182,306.005603846711,-3471.94355265547,308.623626404053,OUMA,Leaf.Structure
stemarea,297.250987954723,304.245156714428,299.308515082554,298.117959890228,304.846966737532,298.89851559818,302.957512517626,BM1,Leaf.Structure
stemarea,297.250987954723,297.063276196024,299.308515082554,296.584801159666,290.836151582948,297.544858864622,283.662552555042,OUMVA,Leaf.Structure
stemarea,297.250987954723,296.406968206117,299.308515082554,297.188842658876,293.092409494181,-1664.04594244527,-1073.24899787193,OUMA,Leaf.Structure
stemarea,297.250987954723,302.066789864675,299.308515082554,298.25441066557,303.457577231942,301.145776230353,294.323247230072,OUMVA,Leaf.Structure
stemarea,297.250987954723,302.867544701674,299.308515082554,298.340512481818,301.197510330665,-2935.1003787537,-2020.389373517,OUMA,Leaf.Structure
stemarea,297.250987954723,305.605173061385,299.308515082554,300.294806280769,307.207747161584,-1759.17472881515,288.947522492696,OUMA,Leaf.Structure
stemarea,297.250987954723,305.398243229834,299.308515082554,299.659149961746,305.054734233369,306.657669227066,304.984992421962,BM1,Leaf.Structure
stemarea,297.250987954723,306.473498435098,299.308515082554,300.77506587174,307.626685279753,301.85256490003,309.093671976342,BM1,Leaf.Structure
stemarea,297.250987954723,304.742424735776,299.308515082554,298.980821021651,305.879460604547,294.78087274052,301.774142297781,OUMA,Leaf.Structure
stemarea,297.250987954723,297.72770561642,299.308515082554,296.755444522027,294.304993094767,299.565950191464,-1729.73527543122,OUMVA,Leaf.Structure
stemarea,297.250987954723,300.113122833385,299.308515082554,293.347206838997,299.573056737439,299.959515695021,-2257.47993229811,OUMVA,Leaf.Structure
